year,publisher,GLOBAL_SALES
1995,THQ,0.63
1997,THQ,1.9
1998,THQ,13.17
1999,THQ,4.01
2000,THQ,15.86
2001,THQ,20.58
2002,THQ,26.51
2003,THQ,29.23
2004,THQ,28.64
2005,THQ,20.58
2006,THQ,24.94
2007,THQ,32.89
2008,THQ,30.43
2009,THQ,30.36
2010,THQ,22.01
2011,THQ,24.73
2012,THQ,6.7
2013,THQ,0.36
