year,publisher,GLOBAL_SALES
1982,Sega,0.4
1990,Sega,2.6
1991,Sega,4.34
1992,Sega,7.98
1993,Sega,1.93
1994,Sega,7.53
1995,Sega,7.93
1996,Sega,4.29
1997,Sega,2.14
1998,Sega,4.06
1999,Sega,4.36
2000,Sega,3.78
2001,Sega,6.6
2002,Sega,12.01
2003,Sega,12.53
2004,Sega,11.93
2005,Sega,11.3
2006,Sega,15.81
2007,Sega,23.69
2008,Sega,37.19
2009,Sega,24.92
2010,Sega,22.89
2011,Sega,16.79
2012,Sega,9.23
2013,Sega,5.26
2014,Sega,5.64
2015,Sega,1.55
2016,Sega,0.77
2017,Sega,0.04
