year,publisher,GLOBAL_SALES
1995,Ubisoft,3.03
1996,Ubisoft,0.16
1997,Ubisoft,0.25
1998,Ubisoft,0.3
1999,Ubisoft,4.61
2000,Ubisoft,4.75
2001,Ubisoft,4.99
2002,Ubisoft,16.21
2003,Ubisoft,16.72
2004,Ubisoft,15.4
2005,Ubisoft,16.49
2006,Ubisoft,17.27
2007,Ubisoft,48.6
2008,Ubisoft,57.44
2009,Ubisoft,47.01
2010,Ubisoft,42.62
2011,Ubisoft,48.03
2012,Ubisoft,37.31
2013,Ubisoft,27.39
2014,Ubisoft,41.95
2015,Ubisoft,12.79
2016,Ubisoft,9.76
2020,Ubisoft,0.29
